TIC ID,TIC,TOI,Telescope,Camera,Filter,Pixel Scale,PSF,Phot Aperture Rad,Obs Date,Obs Duration,Num Obs,Obs Type,Transit Coverage,Delta Mag,User,Group,Tag,Notes
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),SINISTRO,ip,0.389,3.99,21.0,2024-09-01,369.0,481,Continuous,Full,,schwarz,tfopwg,442568,
254113311,,TOI 1130.02,LCO-CTIO-1m0 (1.0 m),SINISTRO,ip,0.389,4.87,18.0,2024-09-13,317.0,417,Continuous,Full,,schwarz,tfopwg,443017,
254113311,,TOI 1130.02,LCO-SSO-1m0 (1.0 m),SINISTRO,ip,0.389,3.36,17.0,2024-07-10,378.0,458,Continuous,Full,,schwarz,tfopwg,441605,
254113311,,TOI 1130.02,CDK20 (0.51 m),Moravian C3-26000,Rc,0.449,2.0,10.0,2024-08-14,342.0,440,Continuous,Full,,pevans,tfopwg,442223,
254113311,,TOI 1130.02,LCO-SAAO (1.0 m),Sinistro,ip,0.389,4.82,17.0,2023-06-06,399.0,529,Continuous,Full,,relles,tfopwg,429211,
254113311,,TOI 1130.01,LCO-CTIO (1.0 m),Sinistro,ip,0.389,2.03,12.0,2023-05-21,202.0,268,Continuous,Egress,,relles,tfopwg,428875,
254113311,,TOI 1130,LCO-SSO-1m0 (1.0 m),SINISTRO,ip,0.389,2.6,15.0,2021-05-29,215.0,272,Continuous,Full,,schwarz,tfopwg,424251,TOI-1130.22
254113311,,TOI 1130.01,planewave (0.36 m),Moravian,CousinsRed,0.735,2.9,9.0,2023-07-18,292.0,148,Continuous,Full,4.8,radford,tfopwg,430115,
254113311,,TOI 1130.02,LCO-SSO (1.0 m),Sinistro,ip,0.389,4.03,14.0,2023-05-17,414.0,543,Continuous,Full,,relles,tfopwg,428772,
254113311,,TOI 1130.01,CDK20 (0.51 m),Moravian C3-26000,Rc,0.449,2.9,13.0,2023-05-21,310.0,296,Continuous,Full,,pevans,tfopwg,428867,
254113311,,TOI 1130.02,LCO-SAAO-1m0 (1.0 m),SINISTRO,ip,0.389,3.67,16.0,2023-06-10,335.0,448,Continuous,Full,,barkaoui,tfopwg,429363,
254113311,,TOI 1130,MoanaES (0.6 m),Andor iKon L,r,0.7,,,2022-06-20,,,,,,leiva,,431063,Contact the WINE collaboration for more information.
254113311,,TOI 1130,LCO-SSO-1m0 (1.0 m),SINISTRO,ip,0.389,2.58,10.0,2023-08-29,96.0,119,Continuous,Full,,schwarz,tfopwg,431371,TOI-1130.11
254113311,,TOI 1130.01,Brierfield036m (0.36 m),Moravian 16803,R,0.735,2.55,6.8,2023-08-29,268.0,131,Continuous,Full,4.6,radford,tfopwg,431370,
254113311,,TOI 1130,LCO-SAAO-1m0 (1.0 m),SINISTRO,ip,0.389,2.34,14.0,2023-09-06,199.0,241,Continuous,Full,,schwarz,tfopwg,431527,TOI-1130.11
254113311,,TOI 1130.01,CDK20 (0.51 m),Moravian C3-26000,Rc,0.449,2.5,12.0,2023-09-15,399.0,661,Continuous,Full,,pevans,tfopwg,431654,
254113311,,TOI 1130.01,LCO-SAAO (1.0 m),Sinistro,ip,0.389,4.24,14.0,2023-10-01,191.0,233,Continuous,Full,,relles,tfopwg,432164,
254113311,,TOI 1130,LCO-SSO-1m0 (1.0 m),SINISTRO,ip,0.389,1.71,12.0,2023-10-15,178.0,196,Continuous,Full,,schwarz,tfopwg,433104,TOI-1130.22
254113311,,TOI 1130.02,CDK20 (0.51 m),Moravian C3-26000,Rc,0.449,1.9,10.0,2023-10-10,295.0,380,Continuous,Full,,pevans,tfopwg,432682,Concurrent with .01 plaanet
254113311,,TOI 1130.01,CDK20 (0.51 m),Moravian C3-26000,Rc,0.449,1.9,10.0,2023-10-11,295.0,380,On-off,Ingress,,pevans,tfopwg,432703,concurrent with .11 transit
254113311,,TOI 1130.01,Hwd (0.32 m),STT3200,Rc,0.556,3.42,13.0,2023-10-18,197.0,133,Continuous,Full,5.0,stockdale,tfopwg,433095,
254113311,,TOI 1130.01,TRAPPIST-South (0.6 m),FLI ProLine PL3041-BB,zp,0.64,2.5,7.0,2023-10-09,243.0,635,Continuous,Full,,barkaoui,tfopwg,433655,
254113311,,TOI 1130.02,ASTEP-ANTARCTICA (0.4 m),FLI KL400,B-ASTEP+: 555 (146) nm,1.13,5.6,6.0,2024-08-24,387.0,361,Continuous,Full,,suarez,tfopwg,443973,
254113311,,TOI 1130.02,ASTEP-ANTARCTICA (0.4 m),ANDOR iKon-L 936,R-ASTEP+: 850 (138) nm,1.39,5.74,8.0,2024-08-24,388.0,1947,Continuous,Full,,suarez,tfopwg,443973,
